t,demand
877,143.7
878,144.7
879,146.2
880,141.5
881,144.1
882,174.9
883,196.6
884,190.3
885,174.7
886,147.7
887,117.9
888,104.9
889,98.5
890,95
891,93.6
892,93.1
893,98.6
894,106.8
895,115.5
896,128.8
897,130
898,131.8
899,140.2
900,140.9
901,142.9
902,146.4
903,143.7
904,142
905,148.7
906,184
907,199.3
908,194.8
909,185.7
910,162.8
911,129.6
912,113.6
913,107.5
914,104.2
915,102.7
916,100.4
917,104.8
918,112.9
919,119.7
920,126.3
921,133.7
922,144.7
923,158.8
924,161.3
925,155.8
926,158.8
927,161
928,157
929,151.6
930,185.6
931,209.3
932,194.9
933,175.2
934,151.9
935,127.4
936,109.8
937,106.8
938,104.8
939,101.8
940,100.8
941,105.1
942,104.5
943,119.2
944,131.6
945,132.2
946,144.1
947,148.4
948,156
949,154.8
950,150
951,154.4
952,150.9
953,150.1
954,183.5
955,214
956,203.2
957,178.2
958,154.9
959,133.1
960,119.5
961,110.1
962,106.3
963,103.5
964,102.5
965,103
966,99.8
967,117.8
968,130.8
969,139
970,149.5
971,156.4
972,110.7
973,127.7
974,133.9
975,136.8
976,130.2
977,133.6
978,165
979,186.9
980,179.9
981,164.9
982,144.1
983,126.4
984,114.1
985,105.2
986,97.4
987,94.1
988,93.5
989,93.1
990,90.7
991,102.1
992,108.5
993,118.7
994,125.8
995,129
996,130.3
997,126.6
998,128
999,128.7
1000,126.3
1001,134.1
1002,166
1003,187.4
1004,183.1
1005,162.3
1006,137.5
1007,111.2
1008,104.1
1009,100
1010,95.1
1011,93.9
1012,93.6
1013,98.1
1014,104.7
1015,107
1016,118.6
1017,123.1
1018,133.7
1019,146.8
1020,148
1021,155.4
1022,149.8
1023,146.4
1024,137.5
1025,142.4
1026,176.1
1027,201.1
1028,189.1
1029,175.9
1030,151.1
1031,123.9
1032,109.3
1033,104.4
1034,100.2
1035,97.4
1036,96.9
1037,103.6
1038,108.6
1039,117.3
1040,120.6
1041,120.5
1042,128.5
1043,132
1044,139.7
1045,138.1
1046,134
1047,132.6
1048,126.2
1049,134.6
1050,170
1051,180.6
1052,167.3
1053,150.2
1054,127.6
1055,104.2
1056,92.1
1057,87.6
1058,85.1
1059,85.9
1060,86.4
1061,92.3
1062,103.3
1063,106.3
1064,115.1
1065,124
1066,129.1
1067,130.2
1068,129.8
1069,135.5
1070,136.5
1071,136.6
1072,136.6
1073,141.1
1074,179.5
1075,195.6
1076,182.4
1077,155.8
1078,132.2
1079,114
1080,102.9
1081,98.3
1082,93.9
1083,91.7
1084,92
1085,97.7
1086,108.5
1087,119.1
1088,131.8
1089,136.9
1090,134.1
1091,135.6
1092,136
1093,127.4
1094,123
1095,120.4
1096,120.6
1097,126
1098,168
1099,184.9
1100,176.3
1101,159.5
1102,136.3
1103,110.1
1104,96.1
1105,92
1106,89.5
1107,88.2
1108,88.9
1109,94.8
1110,99.9
1111,107
1112,114.6
1113,123.8
1114,130.7
1115,141.8
1116,141.5
1117,137.3
1118,145
1119,148
1120,147
1121,142.3
1122,176.4
1123,190.9
1124,186.9
1125,172.3
1126,147
1127,122.5
1128,106.4
1129,101.1
1130,96.7
1131,94.9
1132,91.9
1133,94.1
1134,91.7
1135,103.4
1136,121.8
1137,130.9
1138,142.3
1139,143.8
1140,142.8
1141,138.6
1142,141.7
1143,144.9
1144,145.6
1145,144.1
1146,180
1147,203
1148,190.6
1149,172.8
1150,151.3
1151,133.2
1152,120.3
1153,111.9
1154,105
1155,101.2
1156,98.4
1157,97.5
1158,92.4
1159,101.5
1160,109.8
1161,117.7
1162,121.5
1163,122.7
1164,124.3
1165,122.3
1166,128.9
1167,125.8
1168,117.8
1169,120.2
1170,159.9
1171,184
1172,171.7
1173,150.7
1174,126.8
1175,109.5
1176,100.6
1177,95.8
1178,91.7
1179,91.8
1180,92.5
1181,98.7
1182,104.3
1183,112.3
1184,114.4
1185,121.7
1186,128.9
1187,133.7
1188,93.6
1189,137.9
1190,143.7
1191,141.7
1192,145.9
1193,149.2
1194,182.4
1195,195.5
1196,185.5
1197,171.4
1198,149.3
1199,119.4
1200,106.5
1201,101.9
1202,99.5
1203,96.8
1204,98.9
1205,104.3
1206,112.3
1207,118.9
1208,126.2
1209,132.6
1210,147
1211,150.7
1212,155.2
1213,155.1
1214,147.7
1215,149.4
1216,152.5
1217,151.7
1218,181.4
1219,192.4
1220,179.3
1221,156.2
1222,135.4
1223,113.5
1224,100.5
1225,95.4
1226,93.4
1227,90.6
1228,91.1
1229,94.9
1230,101.6
1231,107.9
1232,120.6
1233,134.3
1234,142.1
1235,146.3
1236,151.2
1237,157.8
1238,156.2
1239,156.2
1240,148.1
1241,153.8
1242,189.3
1243,206.2
1244,199.7
1245,185.5
1246,155.9
1247,130.9
1248,113
1249,106.1
1250,102.6
1251,100.8
1252,101.1
1253,106.3
1254,109.1
1255,112.7
1256,122.7
1257,133.5
1258,141.8
1259,152
1260,155.7
1261,158
1262,162.4
1263,150.5
1264,150.5
1265,147.5
1266,181.2
1267,193.6
1268,183
1269,166.5
1270,139.6
1271,114.6
1272,102.1
1273,97.3
1274,94
1275,92.8
1276,91.8
1277,99.2
1278,106
1279,114.8
1280,122.3
1281,130.5
1282,139.5
1283,148.5
1284,146.8
1285,146.8
1286,95.4
1287,136.3
1288,135.8
1289,142.7
1290,178.4
1291,189.8
1292,163.7
1293,140.5
1294,123.4
1295,104.7
1296,94.3
1297,90
1298,87.5
1299,86.4
1300,86.3
1301,87.7
1302,87.9
1303,105.2
1304,114.4
1305,121
1306,130
1307,134
1308,134.4
1309,139.1
1310,139.3
1311,138.4
1312,139.2
1313,139.6
1314,178.6
1315,202.9
1316,196.8
1317,182
1318,160.7
1319,139.6
1320,123.9
1321,113.4
1322,106.9
1323,105.6
1324,102.7
1325,100.3
1326,96.3
1327,103.1
1328,112.6
1329,123.6
1330,130.5
1331,135.1
1332,142.6
1333,145.2
1334,144
1335,146.1
1336,141.7
1337,145.1
1338,182.6
1339,200.8
1340,193.3
1341,159.3
1342,130.5
1343,113.2
1344,105.5
1345,101.8
1346,97.9
1347,71
1348,10.9
1349,0
1350,19.5
1351,79.3
1352,104
1353,104.7
1354,110.9
1355,125.8
1356,123.3
1357,115.6
1358,118.5
1359,123.8
1360,122.8
1361,128
1362,163.8
1363,183.9
1364,176.3
1365,153
1366,130.7
1367,107.2
1368,91.8
1369,87.6
1370,85.1
1371,82.8
1372,85
1373,88.1
1374,96.3
1375,106
1376,118.9
1377,134.9
1378,144.1
1379,155.2
1380,134.6
1381,124.6
1382,127.5
1383,155.9
1384,154.2
1385,149.1
1386,184.3
1387,201.4
1388,190.2
1389,169.2
1390,146.6
1391,119.6
1392,105.2
1393,100.9
1394,98.9
1395,96.8
1396,95.1
1397,100.8
1398,103.5
1399,114
1400,127.4
1401,139.2
1402,149.2
1403,154.3
1404,153.6
1405,154.6
1406,149.6
1407,126.9
1408,137.8
1409,149.8
1410,183.9
1411,197
1412,187.3
1413,172.3
1414,141.5
1415,113.7
1416,100.4
1417,96.2
1418,93.1
1419,91.3
1420,91.9
1421,95.3
1422,97.9
1423,109.9
1424,130.1
1425,136.4
1426,139.5
1427,152.4
1428,155.2
1429,162.4
1430,159.3
1431,155.5
1432,153
1433,153.7
1434,195.8
1435,200.6
1436,189
1437,172.8
1438,146.1
1439,122
1440,106.9
1441,73
1442,80.1
1443,79.4
1444,77.3
1445,78.1
1446,83.3
1447,103
1448,119.6
1449,125.4
1450,126.8
1451,133.5
1452,125.9
1453,132.3
1454,147.8
1455,146.1
1456,144.2
1457,144.7
1458,176.6
1459,197.4
1460,187.6
1461,175.1
1462,153.9
1463,130.1
1464,113.4
1465,108.7
1466,85.2
1467,52.9
1468,86.1
1469,85.8
1470,83.2
1471,94.1
1472,110.2
1473,132
1474,135.3
1475,132
1476,131.7
1477,135.5
1478,140.4
1479,141.6
1480,137.8
1481,142
1482,177.5
1483,200.5
1484,187.8
1485,165.7
1486,143.3
1487,123.2
1488,111
1489,107.1
1490,100.5
1491,95.7
1492,94.5
1493,92.9
1494,90.2
1495,102.8
1496,114
1497,120.3
1498,128.3
1499,137.9
1500,142.5
1501,139.3
1502,131.1
1503,130.5
1504,132.8
1505,129.1
1506,164.2
1507,183.4
1508,175.4
1509,157.4
1510,130.7
1511,115
1512,98.8
1513,96.3
1514,92.5
1515,90.8
1516,91.4
1517,96.3
1518,98.6
1519,112.5
1520,125.4
1521,136.8
1522,143.2
1523,153.1
1524,152.6
1525,157.6
1526,159.2
1527,161.1
1528,155.9
1529,159.6
1530,191.8
1531,207.4
1532,197.6
1533,178
1534,154.7
1535,127.6
1536,113.5
1537,104.9
1538,102.7
1539,99.9
1540,102.2
1541,109.3
1542,112.2
1543,125.3
1544,131.6
1545,137.7
1546,140.4
1547,145.9
1548,146.7
1549,146.5
1550,141
1551,143.1
1552,136.8
1553,138.9
1554,181.2
1555,194.1
1556,183.2
1557,166.2
1558,140.8
1559,117.9
1560,104.3
1561,99.2
1562,94.4
1563,92.8
1564,93.7
1565,101.8
1566,106.8
1567,111.5
1568,120.4
1569,134.1
1570,147
1571,158.7
1572,161.9
1573,165.5
1574,168.2
1575,154
1576,145.5
1577,156.4
1578,189.6
1579,198.1
1580,189.7
1581,174.4
1582,150.7
1583,122.7
1584,102.2
1585,101.4
1586,98
1587,95
1588,94.2
1589,98.8
1590,105.6
1591,122.9
1592,129.5
1593,134.2
1594,134.3
1595,141.7
1596,137.5
1597,138.7
1598,147.3
1599,150
1600,148.6
1601,148.9
1602,186.8
1603,208.8
1604,199.9
1605,183.2
1606,162.1
1607,134
1608,115
1609,100.6
1610,97.3
1611,94.6
1612,93.4
1613,98.1
1614,96.8
1615,110.3
1616,123
1617,138.4
1618,143.1
1619,147.2
1620,148.7
1621,157.1
1622,155
1623,151
1624,145.6
1625,143.3
1626,182.6
1627,198.6
1628,190.2
1629,182.2
1630,159.5
1631,132.1
1632,117.7
1633,111.5
1634,105.3
1635,101.6
1636,99.3
1637,102.4
1638,100.5
1639,118.5
1640,128.2
1641,127.6
1642,128.9
1643,128.8
1644,132.6
1645,134.6
1646,138.7
1647,139.8
1648,141
1649,141.7
1650,178.9
1651,198.8
1652,191.3
1653,182.2
1654,168.8
1655,149.4
1656,131
1657,121
1658,112.5
1659,105.5
1660,104.2
1661,104.5
1662,99
1663,112.8
1664,118
1665,126.7
1666,133.1
1667,138.5
1668,139.4
1669,146.1
1670,145.7
1671,138.2
1672,136.9
1673,139.7
1674,173.1
1675,192.5
1676,183.9
1677,170.4
1678,151.1
1679,121.5
1680,110.8
1681,105.3
1682,103.9
1683,100.9
1684,99.7
1685,101.5
1686,100.7
1687,117.6
1688,132
1689,149.2
1690,158.2
1691,168.9
1692,169.5
1693,162
1694,159.3
1695,162.6
1696,162.6
1697,162.3
1698,197.4
1699,214.2
1700,201.7
1701,184.1
1702,160.2
1703,133
1704,118.9
1705,112.2
1706,108.8
1707,105.9
1708,92.4
1709,106.1
1710,109.5
1711,114.4
1712,130.2
1713,144.9
1714,152.2
1715,156.8
1716,161.4
1717,160.8
1718,164.3
1719,165.5
1720,156.7
1721,163.5
1722,190.6
1723,201
1724,193.7
1725,171.1
1726,148.3
1727,126.5
1728,114.7
1729,108.3
1730,104.9
1731,104
1732,104.8
1733,107.3
1734,110.4
1735,96.8
1736,12.8
1737,13.8
1738,13.9
1739,28.8
1740,129.4
1741,164.9
1742,171.4
1743,173.8
1744,171.3
1745,168.4
1746,207.7
1747,126.5
1748,146.6
1749,174.5
1750,152
1751,127.4
1752,115.1
1753,110.7
1754,102.2
1755,103.2
1756,104
1757,108.8
1758,110.2
1759,120.3
1760,135.8
1761,146.8
1762,79.7
1763,0
1764,73.6
1765,189.9
1766,195.9
1767,187.2
1768,176.7
1769,176.8
1770,211.5
1771,218.7
1772,209
1773,193.1
1774,172.7
1775,141.7
1776,127
1777,35.3
1778,0
1779,104.2
1780,109.8
1781,111.4
1782,111.8
1783,121.7
1784,134.2
1785,151.8
1786,161.2
1787,165.2
1788,159.1
1789,166.8
1790,166.4
1791,162.7
1792,155.8
1793,163.2
1794,209.1
1795,213.9
1796,198
1797,178.7
1798,146.8
1799,125.8
1800,113.7
1801,109
1802,108.5
1803,106
1804,104.7
1805,104.9
1806,104.9
1807,118.4
1808,134.4
1809,141.6
1810,139.7
1811,143.4
1812,145.2
1813,150.3
1814,149.8
1815,146.6
1816,144
1817,143.8
1818,183.6
1819,199.2
1820,191.9
1821,171.8
1822,147.8
1823,127.8
1824,115.8
1825,107.4
1826,103
1827,99
1828,97.7
1829,97.3
1830,93.7
1831,105.8
1832,111.4
1833,120
1834,124.1
1835,133.8
1836,139.2
1837,139.1
1838,140.7
1839,139.1
1840,134.5
1841,140.3
1842,181.4
1843,198.3
1844,193.1
1845,174.1
1846,147.8
1847,129.6
1848,114.8
1849,99.3
1850,61.4
1851,13.8
1852,96.9
1853,93.6
1854,91.6
1855,109.5
1856,117.7
1857,127.9
1858,132
1859,141.8
1860,148.2
1861,147.3
1862,154.2
1863,139
1864,138.2
1865,142.5
1866,182.6
1867,199.2
1868,187.7
1869,164.6
1870,138.2
1871,121.1
1872,108.2
1873,72.9
1874,103
1875,99
1876,96.6
1877,102.1
1878,112.8
1879,119.2
1880,124.1
1881,126.1
1882,132.7
1883,143.6
1884,145.5
1885,152.4
1886,153.4
