t,DNI,t_ambt,Wt,Qt,GHI,day,SF,DHI
148,0,26.78,1.479529855,824.9185421,0,7,0,0
149,0,26.75,1.467235507,829.4390654,0,7,0,0
150,55.99564714,26.72,1.454941159,833.9595886,27.98594752,7,0,0
151,245.0696277,26.69,1.442646812,838.4801118,208.0042136,7,0,0
152,459.0313536,26.67,1.430352464,843.000635,413.1145257,7,0,0
153,665.6331335,26.65,1.418058116,847.5211582,611.9553529,7,0,0
154,830.1021405,26.61,1.405763768,852.0416815,770.614192,7,0,0
155,923.0548642,26.59,1.39346942,856.5622047,860.3945841,7,0,0
156,927.3695841,26.61,1.381175072,861.0827279,864.5637673,7,0,0
157,842.2435933,26.62,1.368880725,865.6032511,782.3370994,7,0,0
158,683.3841984,26.6,1.356586377,870.1237743,629.0656448,7,0,0
159,479.2839581,26.62,1.344292029,874.6442976,432.5782017,7,0,0
160,264.5452234,26.64,1.331997681,879.1648208,226.6268943,7,0,0
161,71.97730358,26.69,1.319703333,883.685344,43.13108479,7,0,0
162,0,26.76,1.307408986,1.217.854,0,7,0,0
163,0,26.83,1.295114638,-2235.3466,0,7,0,0
164,0,26.86,1.28282029,-2332.7288,0,7,0,0
165,0,26.82,1.270525942,-2430.111,0,7,0,0
166,0,26.72,1.258231594,-2527.4932,0,7,0,0
167,0,26.59,1.245937246,-2624.8754,0,7,0,0
168,0,26.48,1.233642899,888.2058672,0,8,0,0
169,0,26.38,1.221348551,892.7263904,0,8,0,0
170,0,26.3,1.209054203,897.2469137,0,8,0,0
171,0,26.28,1.196759855,901.7674369,0,8,0,0
172,0,26.3,1.184465507,906.2879601,0,8,0,0
173,0,26.39,1.172171159,910.8084833,0,8,0,0
174,54.92262319,26.56,1.159876812,915.3290065,27.14666982,8,0,0
175,243.6222005,26.78,1.147582464,919.8495298,206.8444935,8,0,0
176,457.3648759,26.97,1.135288116,924.370053,411.7794995,8,0,0
177,663.9762047,27.08,1.122993768,928.8905762,610.6594884,8,0,0
178,828.7079232,27.07,1.11069942,933.4110994,769.5940982,8,0,0
179,922.1439702,27.01,1.098405072,937.9316226,859.8536642,8,0,0
180,927.0791038,26.93,1.086110725,942.4521459,864.6229955,8,0,0
