t,demand
1005,22.02
1006,20.04
1007,18.14
1008,16.57
1009,15.81
1010,15.38
1011,15.09
1012,14.44
1013,15.02
1014,15.7
1015,18.43
1016,21.09
1017,22.28
1018,23.27
1019,22.75
1020,19.95
1021,20.63
1022,23.04
1023,23.14
1024,22.87
1025,21.93
1026,23.59
1027,23.24
1028,22.37
1029,21.71
1030,20.2
1031,18.17
1032,16.55
1033,15.98
1034,15.47
1035,15.09
1036,14.63
1037,14.97
1038,15.77
1039,18.7
1040,21.19
1041,22.48
1042,23.64
1043,24.09
1044,22.12
1045,23.5
1046,23.88
1047,26.55
1048,26.34
1049,24.88
1050,25.81
1051,25.08
1052,24.37
1053,23.75
1054,21.72
1055,19.4
1056,17.75
1057,16.8
1058,16.29
1059,15.87
1060,15.07
1061,15.36
1062,16.11
1063,18.93
1064,21.96
1065,23.37
1066,24.52
1067,25.81
1068,24.15
1069,24.07
1070,25.89
1071,26.32
1072,25.58
1073,24.06
1074,25.01
1075,24.57
1076,23.88
1077,22.85
1078,21.01
1079,18.79
1080,17.19
1081,16.49
1082,15.78
1083,15.18
1084,14.79
1085,15.08
1086,15.68
1087,18.47
1088,21.97
1089,24.15
1090,26.01
1091,27.04
1092,24.51
1093,25.54
1094,28.94
1095,29.36
1096,28.2
1097,25.68
1098,26.17
1099,25.51
1100,24.66
1101,24.19
1102,22.97
1103,21.14
1104,19.52
1105,18.49
1106,17.78
1107,16.78
1108,16.18
1109,15.52
1110,14.97
1111,16.81
1112,19.51
1113,20.99
1114,21.53
1115,22.19
1116,21.4
1117,21.75
1118,22.75
1119,22.48
1120,22.68
1121,22.51
1122,25
1123,25.01
1124,24.3
1125,24.11
1126,22.51
1127,20.74
1128,19.34
1129,18.33
1130,17.64
1131,16.82
1132,15.92
1133,15.18
1134,14.92
1135,16.24
1136,17.83
1137,19.57
1138,20.64
1139,20.8
1140,20.49
1141,20.26
1142,21.04
1143,21.32
1144,21.34
1145,20.95
1146,23.54
1147,24.43
1148,24.22
1149,23.98
1150,22
1151,19.89
1152,18.56
1153,17.48
1154,16.93
1155,16.28
1156,15.57
1157,15.81
1158,16.38
1159,19.98
1160,23.95
1161,26.09
1162,26.14
1163,26.38
1164,24.74
1165,26.47
1166,29.13
1167,29.66
1168,28.71
1169,26.61
1170,27.54
1171,27.11
1172,26.36
1173,25.59
1174,23.59
1175,21.05
1176,19.24
1177,18.27
1178,17.59
1179,16.89
1180,16.23
1181,16.29
1182,16.7
1183,20.47
